edad,edad_puntaje,grado_estudio,grado_estudio_puntaje,estrategia_inversion,estrategia_inversion_puntaje,conoce_servicios_inversion,conoce_servicios_inversion_puntaje,inversiones_ultimos_2_anos,inversiones_ultimos_2_anos_puntaje,lo_que_desea_invertir,lo_que_desea_invertir_puntaje,patrimonio_que_desea_invertir,patrimonio_que_desea_invertir_puntaje,dispuesto_derivados,dispuesto_derivados_puntaje,objetivo_inversion,objetivo_inversion_puntaje,plazo_utilizacion_recursos,plazo_utilizacion_recursos_puntaje,portafolio_elegido,portafolio_elegido_puntaje,porcentaje_renta_variable,porcentaje_renta_variable_puntaje,dispuesto_sola_accion,dispuesto_sola_accion_puntaje,porcentaje_valores_corporativos,porcentaje_valores_corporativos_puntaje,dispuesto_sola_emisora,dispuesto_sola_emisora_puntaje,restricciones_adicionales,restricciones_adicionales_puntaje,puntaje_total,perfil
50 a 59 años,4,Básico,1,Moderada,2,No,0,Derivados,5,Entre 20% y 40%,3,Es para mi jubilación,5,No estoy dispuesto,1,Mediano Plazo,3,Menor a 1 año,1,100% en Renta Variable,7,Entre 21% y 50%,3,No estoy dispuesto,1,De 1% a 30%,2,De 11% a 20%,3,NO hay restricciones,1,42,Medio
30 a 39 años,2,Básico,1,Conservadora,1,Sí,1,No he invertido,0,Más del 60%,6,No pienso utilizarla,2,Sí estoy dispuesto,5,Corto Plazo,1,De 1 a 3 años,2,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,Más de 30%,5,De 1% a 30%,2,De 21% a 30%,4,NO deseo operar en mercado de capitales,2,41,Medio
60 años o más,6,Básico,1,Muy Agresiva,7,No,0,ETF’s y Tracks,4,Entre 20% y 40%,3,No pienso utilizarla,2,Sí estoy dispuesto,5,Largo Plazo,5,Menor a 1 año,1,100% en Renta Variable,7,No deseo invertir en Renta Variable,1,De 1% a 10%,2,De 31% a 60%,3,Más del 30%,5,NO deseo operar en mercado de derivados,2,54,Alto
18 a 29 años,1,Doctorado o más,5,No he invertido,0,No,0,Derivados,5,Entre 20% y 40%,3,Dependo de un flujo,2,Sí estoy dispuesto,5,Mediano Plazo,3,Más de 5 años,5,100% en Renta Variable,7,Más del 50%,5,De 1% a 10%,2,No deseo invertir en valores corporativos,1,De 11% a 20%,3,NO deseo operar en mercado de capitales,2,49,Alto
40 a 49 años,3,Medio Superior,2,Agresiva,5,No,0,Acciones y CPO’s,4,Más del 60%,6,Es para largo plazo,3,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,80% en Deuda y 20% en Renta Variable,2,Entre 21% y 50%,3,Entre 21% a 30%,4,De 31% a 60%,3,Hasta 10%,2,NO deseo operar en mercado de capitales,2,48,Alto
40 a 49 años,3,Superior,3,Moderada,2,Sí,1,Deuda gubernamental,1,Entre 40% y 60%,4,Es para mi jubilación,5,Sí estoy dispuesto,5,Largo Plazo,5,Más de 5 años,5,100% en Deuda,1,Entre 21% y 50%,3,De 11% a 20%,3,No deseo invertir en valores corporativos,1,De 11% a 20%,3,NO hay restricciones,1,46,Alto
40 a 49 años,3,Básico,1,No he invertido,0,Sí,1,Valores extranjeros,4,Entre 20% y 40%,3,No pienso utilizarla,2,Sí estoy dispuesto,5,Corto Plazo,1,De 3 a 5 años,3,100% en Deuda,1,Más del 50%,5,De 11% a 20%,3,No deseo invertir en valores corporativos,1,De 11% a 20%,3,NO deseo operar en mercado de derivados,2,38,Medio
40 a 49 años,3,Superior,3,Moderada,2,Sí,1,Valores corporativos,3,Entre 40% y 60%,4,Dependo de un flujo,2,No estoy dispuesto,1,Largo Plazo,5,De 1 a 3 años,2,20% en Deuda y 80% en Renta Variable,5,Más del 50%,5,De 1% a 10%,2,No deseo invertir en valores corporativos,1,Más del 30%,5,NO hay restricciones,1,45,Alto
50 a 59 años,4,Superior,3,Moderada,2,No,0,Divisas y valores,2,Entre 10% y 20%,2,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Largo Plazo,5,De 3 a 5 años,3,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,Más de 30%,5,No deseo invertir en valores corporativos,1,De 21% a 30%,4,NO deseo operar en mercado de derivados,2,46,Alto
18 a 29 años,1,Posgrado,4,Agresiva,5,Sí,1,Fondos inversión deuda,2,Entre 20% y 40%,3,Es para largo plazo,3,No estoy dispuesto,1,Mediano Plazo,3,De 3 a 5 años,3,100% en Deuda,1,No deseo invertir en Renta Variable,1,De 1% a 10%,2,No deseo invertir en valores corporativos,1,Hasta 10%,2,NO deseo operar en mercado de capitales,2,35,Medio
60 años o más,6,Básico,1,Crecimiento,3,No,0,Deuda bancaria,1,Entre 20% y 40%,3,Es para largo plazo,3,Sí estoy dispuesto,5,Largo Plazo,5,Más de 5 años,5,80% en Deuda y 20% en Renta Variable,2,No deseo invertir en Renta Variable,1,Más de 30%,5,Más de 60%,5,Más del 30%,5,NO hay restricciones,1,51,Alto
18 a 29 años,1,Superior,3,Agresiva,5,No,0,Divisas y valores,2,Más del 60%,6,Es para largo plazo,3,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,80% en Deuda y 20% en Renta Variable,2,De 1% a 20%,2,Más de 30%,5,Más de 60%,5,De 11% a 20%,3,NO deseo operar en mercado de derivados,2,48,Alto
60 años o más,6,Medio Superior,2,Muy Agresiva,7,Sí,1,Valores corporativos,3,Entre 40% y 60%,4,Es para incrementar mi patrimonio,3,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,80% en Deuda y 20% en Renta Variable,2,No deseo invertir en Renta Variable,1,De 11% a 20%,3,Más de 60%,5,De 21% a 30%,4,NO deseo operar en mercado de capitales,2,52,Alto
18 a 29 años,1,Básico,1,Conservadora,1,Sí,1,Valores corporativos,3,Entre 10% y 20%,2,Pienso utilizarla en el corto plazo,1,No estoy dispuesto,1,Largo Plazo,5,De 3 a 5 años,3,100% en Renta Variable,7,Más del 50%,5,De 1% a 10%,2,No deseo invertir en valores corporativos,1,Más del 30%,5,NO hay restricciones,1,40,Medio
30 a 39 años,2,Superior,3,No he invertido,0,Sí,1,ETF’s y Tracks,4,Menos del 10%,1,No pienso utilizarla,2,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,Entre 21% a 30%,4,De 31% a 60%,3,De 11% a 20%,3,NO hay restricciones,1,40,Medio
30 a 39 años,2,Posgrado,4,Moderada,2,Sí,1,Divisas y valores,2,Menos del 10%,1,Dependo de un flujo,2,Sí estoy dispuesto,5,Largo Plazo,5,De 1 a 3 años,2,50% en Deuda y 50% en Renta Variable,3,Entre 21% y 50%,3,No estoy dispuesto,1,No deseo invertir en valores corporativos,1,No estoy dispuesto,1,NO deseo operar en mercado de capitales,2,37,Medio
18 a 29 años,1,Posgrado,4,Crecimiento,3,Sí,1,Fondos inversión deuda,2,Entre 10% y 20%,2,Es para mi jubilación,5,No estoy dispuesto,1,Corto Plazo,1,De 3 a 5 años,3,100% en Renta Variable,7,No deseo invertir en Renta Variable,1,Entre 21% a 30%,4,De 31% a 60%,3,De 21% a 30%,4,NO hay restricciones,1,43,Medio
60 años o más,6,Medio Superior,2,Moderada,2,Sí,1,Deuda gubernamental,1,Más del 60%,6,No pienso utilizarla,2,No estoy dispuesto,1,Mediano Plazo,3,Más de 5 años,5,80% en Deuda y 20% en Renta Variable,2,Entre 21% y 50%,3,Más de 30%,5,De 1% a 30%,2,De 21% a 30%,4,NO deseo operar en mercado de capitales,2,47,Alto
60 años o más,6,Posgrado,4,No he invertido,0,No,0,Divisas y valores,2,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,20% en Deuda y 80% en Renta Variable,5,Más del 50%,5,No estoy dispuesto,1,De 31% a 60%,3,Más del 30%,5,NO deseo operar en mercado de derivados,2,48,Alto
40 a 49 años,3,Doctorado o más,5,Crecimiento,3,Sí,1,Fibras,3,Entre 40% y 60%,4,Es para largo plazo,3,No estoy dispuesto,1,Corto Plazo,1,De 1 a 3 años,2,100% en Renta Variable,7,Entre 21% y 50%,3,Entre 21% a 30%,4,De 1% a 30%,2,No estoy dispuesto,1,NO hay restricciones,1,44,Alto
50 a 59 años,4,Básico,1,Crecimiento,3,Sí,1,Valores extranjeros,4,Más del 60%,6,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Corto Plazo,1,De 3 a 5 años,3,100% en Renta Variable,7,No deseo invertir en Renta Variable,1,Más de 30%,5,De 1% a 30%,2,No estoy dispuesto,1,NO deseo operar en mercado de capitales,2,47,Alto
50 a 59 años,4,Posgrado,4,Muy Agresiva,7,Sí,1,Fibras,3,Entre 20% y 40%,3,No pienso utilizarla,2,No estoy dispuesto,1,Corto Plazo,1,De 1 a 3 años,2,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,De 11% a 20%,3,De 31% a 60%,3,De 21% a 30%,4,NO deseo operar en mercado de capitales,2,47,Alto
60 años o más,6,Medio Superior,2,Moderada,2,Sí,1,Valores extranjeros,4,Entre 40% y 60%,4,No pienso utilizarla,2,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,100% en Deuda,1,Entre 21% y 50%,3,No estoy dispuesto,1,Más de 60%,5,Más del 30%,5,NO hay restricciones,1,46,Alto
40 a 49 años,3,Medio Superior,2,Agresiva,5,Sí,1,Fondos inversión renta variable,3,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,No estoy dispuesto,1,Largo Plazo,5,De 3 a 5 años,3,50% en Deuda y 50% en Renta Variable,3,No deseo invertir en Renta Variable,1,Más de 30%,5,De 31% a 60%,3,No estoy dispuesto,1,NO deseo operar en mercado de derivados,2,44,Alto
30 a 39 años,2,Básico,1,No he invertido,0,Sí,1,ETF’s y Tracks,4,Entre 40% y 60%,4,Pienso utilizarla en el corto plazo,1,No estoy dispuesto,1,Largo Plazo,5,Menor a 1 año,1,80% en Deuda y 20% en Renta Variable,2,Entre 21% y 50%,3,De 11% a 20%,3,De 1% a 30%,2,Más del 30%,5,NO deseo operar en mercado de capitales,2,37,Medio
40 a 49 años,3,Superior,3,Muy Agresiva,7,No,0,Fibras,3,Entre 40% y 60%,4,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Largo Plazo,5,De 3 a 5 años,3,20% en Deuda y 80% en Renta Variable,5,No deseo invertir en Renta Variable,1,Más de 30%,5,No deseo invertir en valores corporativos,1,De 21% a 30%,4,NO hay restricciones,1,51,Alto
18 a 29 años,1,Básico,1,No he invertido,0,Sí,1,Deuda bancaria,1,Entre 40% y 60%,4,Es para largo plazo,3,Sí estoy dispuesto,5,Largo Plazo,5,De 3 a 5 años,3,20% en Deuda y 80% en Renta Variable,5,Más del 50%,5,Más de 30%,5,Más de 60%,5,De 11% a 20%,3,NO hay restricciones,1,48,Alto
60 años o más,6,Básico,1,Muy Agresiva,7,No,0,ETF’s y Tracks,4,Entre 40% y 60%,4,Dependo de un flujo,2,No estoy dispuesto,1,Mediano Plazo,3,De 3 a 5 años,3,20% en Deuda y 80% en Renta Variable,5,De 1% a 20%,2,Más de 30%,5,Más de 60%,5,Hasta 10%,2,NO deseo operar en mercado de derivados,2,52,Alto
40 a 49 años,3,Posgrado,4,Crecimiento,3,No,0,No he invertido,0,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,Sí estoy dispuesto,5,Mediano Plazo,3,De 3 a 5 años,3,50% en Deuda y 50% en Renta Variable,3,No deseo invertir en Renta Variable,1,De 11% a 20%,3,No deseo invertir en valores corporativos,1,Hasta 10%,2,NO hay restricciones,1,38,Medio
50 a 59 años,4,Doctorado o más,5,Crecimiento,3,Sí,1,Derivados,5,Más del 60%,6,Pienso utilizarla en el corto plazo,1,No estoy dispuesto,1,Mediano Plazo,3,Menor a 1 año,1,100% en Deuda,1,No deseo invertir en Renta Variable,1,Más de 30%,5,No deseo invertir en valores corporativos,1,De 11% a 20%,3,NO deseo operar en mercado de capitales,2,43,Medio
50 a 59 años,4,Superior,3,Crecimiento,3,Sí,1,Fondos inversión renta variable,3,Entre 40% y 60%,4,Es para incrementar mi patrimonio,3,Sí estoy dispuesto,5,Mediano Plazo,3,Menor a 1 año,1,20% en Deuda y 80% en Renta Variable,5,De 1% a 20%,2,Entre 21% a 30%,4,No deseo invertir en valores corporativos,1,De 21% a 30%,4,NO hay restricciones,1,47,Alto
40 a 49 años,3,Superior,3,Conservadora,1,Sí,1,Valores corporativos,3,Menos del 10%,1,Es para largo plazo,3,No estoy dispuesto,1,Mediano Plazo,3,De 3 a 5 años,3,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,No estoy dispuesto,1,No deseo invertir en valores corporativos,1,No estoy dispuesto,1,NO deseo operar en mercado de derivados,2,34,Medio
60 años o más,6,Doctorado o más,5,Conservadora,1,Sí,1,Productos estructurados,5,Entre 40% y 60%,4,Es para mi jubilación,5,No estoy dispuesto,1,Largo Plazo,5,Menor a 1 año,1,100% en Renta Variable,7,No deseo invertir en Renta Variable,1,De 11% a 20%,3,De 31% a 60%,3,De 11% a 20%,3,NO deseo operar en mercado de derivados,2,53,Alto
40 a 49 años,3,Superior,3,Moderada,2,Sí,1,ETF’s y Tracks,4,Entre 10% y 20%,2,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Corto Plazo,1,Menor a 1 año,1,50% en Deuda y 50% en Renta Variable,3,No deseo invertir en Renta Variable,1,Más de 30%,5,De 1% a 30%,2,No estoy dispuesto,1,NO hay restricciones,1,36,Medio
18 a 29 años,1,Doctorado o más,5,No he invertido,0,Sí,1,Deuda bancaria,1,Entre 10% y 20%,2,Es para largo plazo,3,No estoy dispuesto,1,Corto Plazo,1,De 1 a 3 años,2,20% en Deuda y 80% en Renta Variable,5,No deseo invertir en Renta Variable,1,No estoy dispuesto,1,Más de 60%,5,Hasta 10%,2,NO deseo operar en mercado de capitales,2,33,Medio
30 a 39 años,2,Superior,3,Moderada,2,No,0,Valores corporativos,3,Entre 40% y 60%,4,Es para largo plazo,3,Sí estoy dispuesto,5,Largo Plazo,5,Menor a 1 año,1,100% en Deuda,1,De 1% a 20%,2,Entre 21% a 30%,4,De 1% a 30%,2,De 21% a 30%,4,NO hay restricciones,1,42,Medio
18 a 29 años,1,Básico,1,No he invertido,0,No,0,Deuda gubernamental,1,Entre 10% y 20%,2,Es para largo plazo,3,No estoy dispuesto,1,Mediano Plazo,3,De 3 a 5 años,3,100% en Deuda,1,De 1% a 20%,2,No estoy dispuesto,1,De 1% a 30%,2,De 21% a 30%,4,NO deseo operar en mercado de derivados,2,27,Bajo
40 a 49 años,3,Medio Superior,2,Muy Agresiva,7,Sí,1,Valores corporativos,3,Entre 20% y 40%,3,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Corto Plazo,1,De 1 a 3 años,2,20% en Deuda y 80% en Renta Variable,5,Más del 50%,5,De 1% a 10%,2,Más de 60%,5,No estoy dispuesto,1,NO deseo operar en mercado de derivados,2,48,Alto
18 a 29 años,1,Posgrado,4,Agresiva,5,No,0,Deuda bancaria,1,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,No estoy dispuesto,1,Corto Plazo,1,Más de 5 años,5,100% en Deuda,1,De 1% a 20%,2,Más de 30%,5,No deseo invertir en valores corporativos,1,De 11% a 20%,3,NO deseo operar en mercado de derivados,2,38,Medio
50 a 59 años,4,Posgrado,4,No he invertido,0,Sí,1,Fibras,3,Entre 20% y 40%,3,Es para mi jubilación,5,Sí estoy dispuesto,5,Largo Plazo,5,Más de 5 años,5,50% en Deuda y 50% en Renta Variable,3,Más del 50%,5,Más de 30%,5,Más de 60%,5,De 21% a 30%,4,NO deseo operar en mercado de capitales,2,59,Muy Alto
60 años o más,6,Medio Superior,2,No he invertido,0,No,0,Valores extranjeros,4,Menos del 10%,1,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Largo Plazo,5,Más de 5 años,5,50% en Deuda y 50% en Renta Variable,3,No deseo invertir en Renta Variable,1,Entre 21% a 30%,4,No deseo invertir en valores corporativos,1,De 21% a 30%,4,NO hay restricciones,1,43,Medio
50 a 59 años,4,Posgrado,4,Conservadora,1,No,0,No he invertido,0,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,No estoy dispuesto,1,Mediano Plazo,3,Más de 5 años,5,20% en Deuda y 80% en Renta Variable,5,Más del 50%,5,Más de 30%,5,Más de 60%,5,De 21% a 30%,4,NO deseo operar en mercado de capitales,2,50,Alto
30 a 39 años,2,Superior,3,Crecimiento,3,Sí,1,Divisas y valores,2,Entre 40% y 60%,4,Es para mi jubilación,5,Sí estoy dispuesto,5,Mediano Plazo,3,De 1 a 3 años,2,100% en Deuda,1,Entre 21% y 50%,3,De 11% a 20%,3,Más de 60%,5,No estoy dispuesto,1,NO deseo operar en mercado de derivados,2,45,Alto
18 a 29 años,1,Básico,1,Conservadora,1,No,0,ETF’s y Tracks,4,Entre 20% y 40%,3,Es para mi jubilación,5,No estoy dispuesto,1,Largo Plazo,5,De 1 a 3 años,2,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,No estoy dispuesto,1,Más de 60%,5,Hasta 10%,2,NO deseo operar en mercado de derivados,2,40,Medio
30 a 39 años,2,Básico,1,Crecimiento,3,No,0,Valores extranjeros,4,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,Sí estoy dispuesto,5,Mediano Plazo,3,De 3 a 5 años,3,100% en Renta Variable,7,De 1% a 20%,2,No estoy dispuesto,1,No deseo invertir en valores corporativos,1,No estoy dispuesto,1,NO deseo operar en mercado de capitales,2,41,Medio
30 a 39 años,2,Básico,1,Conservadora,1,No,0,Divisas y valores,2,Entre 10% y 20%,2,Dependo de un flujo,2,Sí estoy dispuesto,5,Corto Plazo,1,Más de 5 años,5,100% en Renta Variable,7,De 1% a 20%,2,De 11% a 20%,3,Más de 60%,5,No estoy dispuesto,1,NO deseo operar en mercado de capitales,2,41,Medio
50 a 59 años,4,Superior,3,Crecimiento,3,No,0,Deuda gubernamental,1,Entre 20% y 40%,3,Dependo de un flujo,2,No estoy dispuesto,1,Mediano Plazo,3,De 1 a 3 años,2,80% en Deuda y 20% en Renta Variable,2,Más del 50%,5,De 11% a 20%,3,Más de 60%,5,Más del 30%,5,NO hay restricciones,1,43,Medio
30 a 39 años,2,Básico,1,Moderada,2,Sí,1,Derivados,5,Entre 40% y 60%,4,Es para incrementar mi patrimonio,3,Sí estoy dispuesto,5,Corto Plazo,1,Más de 5 años,5,100% en Renta Variable,7,Más del 50%,5,Entre 21% a 30%,4,De 31% a 60%,3,De 11% a 20%,3,NO deseo operar en mercado de derivados,2,53,Alto
30 a 39 años,2,Posgrado,4,No he invertido,0,Sí,1,Divisas y valores,2,Más del 60%,6,Es para mi jubilación,5,No estoy dispuesto,1,Corto Plazo,1,Más de 5 años,5,80% en Deuda y 20% en Renta Variable,2,Entre 21% y 50%,3,Entre 21% a 30%,4,No deseo invertir en valores corporativos,1,Más del 30%,5,NO deseo operar en mercado de capitales,2,44,Alto
40 a 49 años,3,Medio Superior,2,Crecimiento,3,No,0,Divisas y valores,2,Entre 20% y 40%,3,Dependo de un flujo,2,No estoy dispuesto,1,Corto Plazo,1,Más de 5 años,5,20% en Deuda y 80% en Renta Variable,5,De 1% a 20%,2,De 11% a 20%,3,No deseo invertir en valores corporativos,1,No estoy dispuesto,1,NO deseo operar en mercado de derivados,2,36,Medio
50 a 59 años,4,Medio Superior,2,No he invertido,0,No,0,Valores corporativos,3,Entre 10% y 20%,2,Es para mi jubilación,5,No estoy dispuesto,1,Corto Plazo,1,De 3 a 5 años,3,100% en Renta Variable,7,De 1% a 20%,2,No estoy dispuesto,1,Más de 60%,5,De 11% a 20%,3,NO deseo operar en mercado de derivados,2,41,Medio
40 a 49 años,3,Superior,3,Moderada,2,Sí,1,ETF’s y Tracks,4,Entre 10% y 20%,2,No pienso utilizarla,2,No estoy dispuesto,1,Mediano Plazo,3,Menor a 1 año,1,100% en Renta Variable,7,De 1% a 20%,2,Más de 30%,5,No deseo invertir en valores corporativos,1,No estoy dispuesto,1,NO deseo operar en mercado de derivados,2,40,Medio
30 a 39 años,2,Básico,1,Conservadora,1,Sí,1,Valores extranjeros,4,Menos del 10%,1,Dependo de un flujo,2,No estoy dispuesto,1,Largo Plazo,5,De 3 a 5 años,3,20% en Deuda y 80% en Renta Variable,5,Entre 21% y 50%,3,Entre 21% a 30%,4,De 31% a 60%,3,De 21% a 30%,4,NO deseo operar en mercado de derivados,2,42,Medio
18 a 29 años,1,Superior,3,Agresiva,5,Sí,1,Productos estructurados,5,Menos del 10%,1,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Largo Plazo,5,Más de 5 años,5,100% en Renta Variable,7,De 1% a 20%,2,De 1% a 10%,2,Más de 60%,5,De 11% a 20%,3,NO deseo operar en mercado de capitales,2,53,Alto
40 a 49 años,3,Básico,1,Agresiva,5,Sí,1,No he invertido,0,Entre 20% y 40%,3,Pienso utilizarla en el corto plazo,1,Sí estoy dispuesto,5,Mediano Plazo,3,De 3 a 5 años,3,50% en Deuda y 50% en Renta Variable,3,No deseo invertir en Renta Variable,1,Más de 30%,5,De 1% a 30%,2,Hasta 10%,2,NO deseo operar en mercado de capitales,2,40,Medio
18 a 29 años,1,Posgrado,4,No he invertido,0,No,0,Fibras,3,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,No estoy dispuesto,1,Mediano Plazo,3,Más de 5 años,5,20% en Deuda y 80% en Renta Variable,5,De 1% a 20%,2,No estoy dispuesto,1,Más de 60%,5,Hasta 10%,2,NO hay restricciones,1,39,Medio
50 a 59 años,4,Posgrado,4,Muy Agresiva,7,No,0,Acciones y CPO’s,4,Entre 20% y 40%,3,Dependo de un flujo,2,No estoy dispuesto,1,Mediano Plazo,3,Más de 5 años,5,100% en Renta Variable,7,Más del 50%,5,Más de 30%,5,De 31% a 60%,3,De 11% a 20%,3,NO hay restricciones,1,57,Muy Alto
18 a 29 años,1,Medio Superior,2,Muy Agresiva,7,No,0,Valores corporativos,3,Entre 20% y 40%,3,Es para incrementar mi patrimonio,3,No estoy dispuesto,1,Mediano Plazo,3,De 3 a 5 años,3,80% en Deuda y 20% en Renta Variable,2,De 1% a 20%,2,Entre 21% a 30%,4,Más de 60%,5,Hasta 10%,2,NO hay restricciones,1,42,Medio
60 años o más,6,Medio Superior,2,Crecimiento,3,Sí,1,Acciones y CPO’s,4,Entre 40% y 60%,4,Es para mi jubilación,5,Sí estoy dispuesto,5,Corto Plazo,1,Menor a 1 año,1,20% en Deuda y 80% en Renta Variable,5,Más del 50%,5,De 1% a 10%,2,Más de 60%,5,Hasta 10%,2,NO deseo operar en mercado de derivados,2,53,Alto
